"","research_id","respondent_id","response_id","object","original_response","cleaned_response","originality_rater01","originality_rater02"
"211","CES201712",1148,17103,"brick","gat in grond dempen","gat grond dempen",3,2
"212","CES201712",1200,17419,"brick","kan je gebruiken om een gebiedje af te bakenen","gebiedje af bakenen",2,2
"213","CES201712",1134,17040,"brick","gebouw","gebouw",1,1
"214","CES201712",1148,17099,"brick","gebouw","gebouw",1,1
"215","CES201712",1194,17357,"brick","gebouw","gebouw",1,1
"216","CES201712",1132,16907,"brick","andere gebouwen bouwen","gebouwen bouwen",1,1
"217","CES201712",1150,17119,"brick","gebouwen bouwen","gebouwen bouwen",1,1
"218","CES201712",1239,18464,"brick","ik heb dit al gedaan","gedaan",0,0
"219","CES201712",1177,17248,"brick","gesteente","gesteente",1,1
"220","CES201712",1217,17461,"brick","gesteente","gesteente",1,1
"221","CES201712",1148,17109,"brick","als gewicht","gewicht",2,2
"222","CES201712",1163,17209,"brick","Gewicht","gewicht",2,2
"223","CES201712",1190,17385,"brick","als gewicht","gewicht",2,2
"224","CES201712",1223,17545,"brick","gewich","gewicht",2,2
"225","CES201712",1231,17683,"brick","gebruiken als gewicht","gewicht",2,2
"226","CES201712",1203,17412,"brick","gewicht om mee te gewicht heffen","gewicht gewicht heffen",3,3
"227","CES201712",1228,17662,"brick","gewicht mee heffen","gewicht heffen",3,3
"228","CES201712",1208,17491,"brick","gewicht voor sport","gewicht sport",3,3
"229","CES201712",1154,17214,"brick","gewicht om voorwerp op zijn plek te houden","gewicht voorwerp plek houden",2,3
"230","CES201712",1199,17427,"brick","Gewichten voor sporten","gewichten sporten",3,3
"231","CES201712",1136,16917,"brick","gewichtheffen","gewichtheffen",3,3
"232","CES201712",1212,17540,"brick","gewichtheffen","gewichtheffen",3,3
"233","CES201712",1210,17436,"brick","gewichtje","gewichtje",2,2
"234","CES201712",1225,17624,"brick","gezellig","gezellig",0,0
"235","CES201712",1140,16993,"brick","door glas gooien in geval van nood","glas gooien geval nood",2,2
"236","CES201712",1155,17073,"brick","goedkope bouwblokken voor je kinderen","goedkope bouwblokken kinderen",2,2
"237","CES201712",1134,17043,"brick","gooien","gooien",2,2
"238","CES201712",1135,17161,"brick","gooien","gooien",2,2
"239","CES201712",1137,16924,"brick","gooien","gooien",2,2
"240","CES201712",1142,17004,"brick","gooien","gooien",2,2
"241","CES201712",1145,16966,"brick","gooien","gooien",2,2
"242","CES201712",1148,17107,"brick","gooien ermee","gooien",2,2
"243","CES201712",1151,17047,"brick","gooien","gooien",2,2
"244","CES201712",1153,17003,"brick","gooien","gooien",2,2
"245","CES201712",1158,17196,"brick","mee gooien","gooien",2,2
"246","CES201712",1163,17207,"brick","Gooien","gooien",2,2
"247","CES201712",1166,17192,"brick","gooien","gooien",2,2
"248","CES201712",1172,17231,"brick","naar iemand gooien","gooien",2,2
"249","CES201712",1173,17178,"brick","gooien","gooien",2,2
"250","CES201712",1174,17291,"brick","gooien","gooien",2,2
"251","CES201712",1180,17325,"brick","gooien","gooien",2,2
"252","CES201712",1183,17305,"brick","gooien","gooien",2,2
"253","CES201712",1185,17286,"brick","naar iemand gooien","gooien",2,2
"254","CES201712",1189,17300,"brick","Gooien","gooien",2,2
"255","CES201712",1191,17401,"brick","gooien","gooien",2,2
"256","CES201712",1192,17365,"brick","gooien","gooien",2,2
"257","CES201712",1195,17442,"brick","gooien","gooien",2,2
"258","CES201712",1201,17462,"brick","gooien","gooien",2,2
"259","CES201712",1204,17390,"brick","GOOIEN","gooien",2,2
"260","CES201712",1206,17566,"brick","gooien","gooien",2,2
"261","CES201712",1216,17529,"brick","gooien","gooien",2,2
"262","CES201712",1220,17650,"brick","om mee over te gooien","gooien",3,2
"263","CES201712",1221,17593,"brick","om mee te gooien","gooien",2,2
"264","CES201712",1228,17655,"brick","gooien","gooien",2,2
"265","CES201712",1232,17832,"brick","gooien","gooien",2,2
"266","CES201712",1237,18440,"brick","iets om mee te gooien","gooien",2,2
"267","CES201712",1207,17516,"brick","gooien door een ruit","gooien ruit",2,2
"268","CES201712",1157,17144,"brick","gootsteen","gootsteen",3,2
"269","CES201712",1143,16947,"brick","grafkist","grafkist",3,2
"270","CES201712",1143,16954,"brick","grensrechter stopper","grensrechter stopper",4,4
"271","CES201712",1162,17121,"brick","grond","grond",1,1
"272","CES201712",1215,17497,"brick","grond","grond",1,1
"273","CES201712",1131,16899,"brick","hamer","hamer",4,3
"274","CES201712",1139,16932,"brick","hamer","hamer",4,3
"275","CES201712",1141,16961,"brick","hamer","hamer",4,3
"276","CES201712",1142,17012,"brick","hamer","hamer",4,3
"277","CES201712",1161,17160,"brick","hamer","hamer",4,3
"278","CES201712",1179,17276,"brick","hamer","hamer",4,3
"279","CES201712",1186,17266,"brick","hamer","hamer",4,3
"280","CES201712",1239,18462,"brick","hamer","hamer",4,3
"281","CES201712",1180,17334,"brick","hameren","hameren",4,3
"282","CES201712",1202,17368,"brick","hard","hard",0,0
"283","CES201712",1225,17627,"brick","hard","hard",0,0
"284","CES201712",1135,17167,"brick","op je hoofd leggen","hoofd leggen",4,3
"285","CES201712",1134,17033,"brick","huis","huis",1,1
"286","CES201712",1149,17048,"brick","huis","huis",1,1
"287","CES201712",1152,17185,"brick","huis","huis",1,1
"288","CES201712",1157,17142,"brick","huis","huis",1,1
"289","CES201712",1161,17150,"brick","huis","huis",1,1
"290","CES201712",1162,17116,"brick","huis","huis",1,1
"291","CES201712",1167,17125,"brick","huis","huis",1,1
"292","CES201712",1176,17283,"brick","huis","huis",1,1
"293","CES201712",1177,17236,"brick","huis ","huis",1,1
"294","CES201712",1187,17318.1,"brick","huis","huis",1,1
"295","CES201712",1194,17356,"brick","huis","huis",1,1
"296","CES201712",1196,17351,"brick","huis","huis",1,1
"297","CES201712",1201,17469,"brick","huis","huis",1,1
"298","CES201712",1202,17366,"brick","huis","huis",1,1
"299","CES201712",1205,17494,"brick","huis","huis",1,1
"300","CES201712",1215,17493,"brick","huis","huis",1,1
"301","CES201712",1217,17455,"brick","huis","huis",1,1
"302","CES201712",1219,17576,"brick","huis","huis",1,1
"303","CES201712",1225,17606,"brick","huis","huis",1,1
"304","CES201712",1237,18438,"brick","huis","huis",1,1
"305","CES201712",1130,16893,"brick","je kan het gebruiken om een huis mee te bouwen","huis bouwen",1,1
"306","CES201712",1132,16905,"brick","huis bouwen","huis bouwen",1,1
"307","CES201712",1136,16915,"brick","huis bouwen","huis bouwen",1,1
